time,description,done_by
2023-09-27 11:34:55.887102+00:00,Advocate created with name: saju and email: saju@gmail.com,unknown
2023-09-27 12:32:34.867652+00:00,Advocate created with name: siju and email: siju@gmail.com,unknown
2023-09-27 12:35:12.622262+00:00,Advocate created with name: arun and email: arun@gmail.com,unknown
2023-09-27 12:41:02.525127+00:00,Advocate created with name: akku and email: akku@gmail.com,unknown
2023-09-27 13:10:21.446519+00:00,Advocate created with name: ram and email: ram@gmail.com,unknown
2023-09-27 13:44:46.131136+00:00,Advocate created with name: raju and email: rajuu2@gmail.com,unknown
2023-09-27 13:47:31.995934+00:00,Advocate created with name: ammu and email: ammu@gmail.com,unknown
2023-09-27 14:57:07.713590+00:00,LawFirm created with name: samLawfirm by: sam,unknown
2023-09-27 14:57:43.928724+00:00,LawFirm created with name: samLwafirm2 by: sam,unknown
2023-09-28 06:12:53.573267+00:00,Advocate created with name: koi and email: koi@gmail.com,unknown
2023-09-28 07:45:43.981594+00:00,Court created with name: siju and type: Legal,AnonymousUser
2023-09-28 07:47:09.856039+00:00,Court created with name: Kochi and type: District,AnonymousUser
2023-09-28 07:47:48.935199+00:00,Court created with name: Alappuzha and type: Legal,AnonymousUser
2023-09-28 08:25:17.123502+00:00,Registrar created with name: Registrar1 and email: registrar1@gmail.com,unknown
2023-09-28 08:35:04.164935+00:00,Registrar created with name: Akhileshregistrar and email: akhileshregistrar@gmail.com,unknown
2023-09-28 08:36:29.866825+00:00,Registrar created with name: samregistrar and email: sajan@gmail.com,unknown
